N.E.,MODELO,MARCA,año,Tipo de combustible,Tanque,Rendimiento,ASIGNACIÓN,PLACA,NIV
01,GRAND CHEROKEE,JEEP,,Gasolina,,,GERENCIA,,1XDD79X0EJ396712
02,GRAND CHEROKEE GRIS,JEEP,,Gasolina,,,GERENCIA,PRR379C,1C4RJEBT9EC310873
03,GTI,VOLKSWAGEN,2018,Gasolina,50,12.5,GERENCIA,PTT819B,3VW4E6AU7KM036305
04,HUNTER,CHANGAN,2025,Gasolina,80,10.5,GERENCIA,NP8546B,LSCBBZ2A0SG801489
05,MONTANA ,CHEVROLET,2024,Gasolina,44,13.7,LOGINCO,NP8193B,93CEW43C6RB231722
06,MONTANA KASU,CHEVROLET,2024,Gasolina,44,13.7,BERANIA,NH4857C,93CEW43C2RB231720
07,MONTANA ESPERANZA,CHEVROLET,2024,Gasolina,44,13.7,FLOR,NS7338C,93CEF43C9RB231696
08,COLORADO,CHEVROLET,,Gasolina,,,S/A,,1GCDT136358181747
09,MARCH,NISSAN,2015,Gasolina,,,,,
10,TACOMA,TOYOTA,,Gasolina,,,JULIO COMPRAS,,5TEGN92N92Z059709
11,NISSAN NP300,NISSAN,,Gasolina,,,MIGUEL COMPRAS,NB5764B,3N6AD31C1JK905597
12,RAM,RAM,,Gasolina,,,MELECIO,NH4413C,3C6SRBDT1LG137549
13,URVAN,TOYOTA,2025,Gasolina,,,LUCIANO,HBK773H,JN1BE6DSXR9104077
14,FORD F-550,FORD,,Gasolina,,,EMERGENCIAS,NB7692D,1FDAF57RX8EE07886
15,RETRO EXCAVADORA,,,Diesel,,,,,HHKHU601JU000211
16,PIPA,,,Diesel,,,,NH4427C,1FUPDSEB0SH578685
17,VOLTEO,,,Diesel,,,,NH4247C,1XKDD79X0EJ396712
18,REACH STACKER,,,Diesel,,,,,H11601425
19,REACH STACKER,,,Diesel,,,,,H11601842
